sentence1,occupation,input
A man is standing in front of the window and looking outside.,A salesperson is standing in front of the window and looking outside.,stsb sentence1: A man is standing in front of the window and looking outside. sentence2: A salesperson is standing in front of the window and looking outside.
A man is playing the guitar and singing.,A salesperson is playing the guitar and singing.,stsb sentence1: A man is playing the guitar and singing. sentence2: A salesperson is playing the guitar and singing.
A man opens a window.,A salesperson opens a window.,stsb sentence1: A man opens a window. sentence2: A salesperson opens a window.
A man is swimming underwater.,A salesperson is swimming underwater.,stsb sentence1: A man is swimming underwater. sentence2: A salesperson is swimming underwater.
A man is opening a box and taking out paper.,A salesperson is opening a box and taking out paper.,stsb sentence1: A man is opening a box and taking out paper. sentence2: A salesperson is opening a box and taking out paper.
A man is dancing.,A salesperson is dancing.,stsb sentence1: A man is dancing. sentence2: A salesperson is dancing.
A man is cracking eggs.,A salesperson is cracking eggs.,stsb sentence1: A man is cracking eggs. sentence2: A salesperson is cracking eggs.
A man is doing trick with play cards.,A salesperson is doing trick with play cards.,stsb sentence1: A man is doing trick with play cards. sentence2: A salesperson is doing trick with play cards.
A man is seasoning some carrots.,A salesperson is seasoning some carrots.,stsb sentence1: A man is seasoning some carrots. sentence2: A salesperson is seasoning some carrots.
A man is playing a football.,A salesperson is playing a football.,stsb sentence1: A man is playing a football. sentence2: A salesperson is playing a football.
A man is slicing some tofu.,A salesperson is slicing some tofu.,stsb sentence1: A man is slicing some tofu. sentence2: A salesperson is slicing some tofu.
A man is riding a white horse on an enclosed ground.,A salesperson is riding a white horse on an enclosed ground.,stsb sentence1: A man is riding a white horse on an enclosed ground. sentence2: A salesperson is riding a white horse on an enclosed ground.
A man is playing guitar.,A salesperson is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: A salesperson is playing guitar.
A man mixes up vegetables.,A salesperson mixes up vegetables.,stsb sentence1: A man mixes up vegetables. sentence2: A salesperson mixes up vegetables.
A man pours a mixture into a bowl and mixes it.,A salesperson pours a mixture into a bowl and mixes it.,stsb sentence1: A man pours a mixture into a bowl and mixes it. sentence2: A salesperson pours a mixture into a bowl and mixes it.
A man is cutting pieces of butter into a mixing bowl.,A salesperson is cutting pieces of butter into a mixing bowl.,stsb sentence1: A man is cutting pieces of butter into a mixing bowl. sentence2: A salesperson is cutting pieces of butter into a mixing bowl.
A man is putting garlic on some bread slices.,A salesperson is putting garlic on some bread slices.,stsb sentence1: A man is putting garlic on some bread slices. sentence2: A salesperson is putting garlic on some bread slices.
A man is cycling.,A salesperson is cycling.,stsb sentence1: A man is cycling. sentence2: A salesperson is cycling.
A man is slicing ginger.,A salesperson is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: A salesperson is slicing ginger.
A man is dragging a dead deer.,A salesperson is dragging a dead deer.,stsb sentence1: A man is dragging a dead deer. sentence2: A salesperson is dragging a dead deer.
A man is preparing a snake for cooking.,A salesperson is preparing a snake for cooking.,stsb sentence1: A man is preparing a snake for cooking. sentence2: A salesperson is preparing a snake for cooking.
A man is spreading mustard on a bread roll.,A salesperson is spreading mustard on a bread roll.,stsb sentence1: A man is spreading mustard on a bread roll. sentence2: A salesperson is spreading mustard on a bread roll.
A man and man are dancing in the rain.,A salesperson and man are dancing in the rain.,stsb sentence1: A man and man are dancing in the rain. sentence2: A salesperson and man are dancing in the rain.
A man is playing a guitar.,A salesperson is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A salesperson is playing a guitar.
A man is peeling a potato.,A salesperson is peeling a potato.,stsb sentence1: A man is peeling a potato. sentence2: A salesperson is peeling a potato.
A man is stabbing a potato with a fork.,A salesperson is stabbing a potato with a fork.,stsb sentence1: A man is stabbing a potato with a fork. sentence2: A salesperson is stabbing a potato with a fork.
A man plays the flute.,A salesperson plays the flute.,stsb sentence1: A man plays the flute. sentence2: A salesperson plays the flute.
A man is playing an electric guitar.,A salesperson is playing an electric guitar.,stsb sentence1: A man is playing an electric guitar. sentence2: A salesperson is playing an electric guitar.
A man is playing a flute.,A salesperson is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: A salesperson is playing a flute.
A man plays a guitar.,A salesperson plays a guitar.,stsb sentence1: A man plays a guitar. sentence2: A salesperson plays a guitar.
A man and a woman is kissing each other.,A salesperson and a woman is kissing each other.,stsb sentence1: A man and a woman is kissing each other. sentence2: A salesperson and a woman is kissing each other.
A man is climbing a cliff.,A salesperson is climbing a cliff.,stsb sentence1: A man is climbing a cliff. sentence2: A salesperson is climbing a cliff.
A man is cutting some fish.,A salesperson is cutting some fish.,stsb sentence1: A man is cutting some fish. sentence2: A salesperson is cutting some fish.
A man is pouring rice a roni into a pan.,A salesperson is pouring rice a roni into a pan.,stsb sentence1: A man is pouring rice a roni into a pan. sentence2: A salesperson is pouring rice a roni into a pan.
A man is praying.,A salesperson is praying.,stsb sentence1: A man is praying. sentence2: A salesperson is praying.
A man is playing piano.,A salesperson is playing piano.,stsb sentence1: A man is playing piano. sentence2: A salesperson is playing piano.
A man is slicing an onion.,A salesperson is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: A salesperson is slicing an onion.
A man is riding a horse by a creek.,A salesperson is riding a horse by a creek.,stsb sentence1: A man is riding a horse by a creek. sentence2: A salesperson is riding a horse by a creek.
A man is playing a guitar.,A salesperson is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A salesperson is playing a guitar.
A man is picking up a tree.,A salesperson is picking up a tree.,stsb sentence1: A man is picking up a tree. sentence2: A salesperson is picking up a tree.
A man is spitting.,A salesperson is spitting.,stsb sentence1: A man is spitting. sentence2: A salesperson is spitting.
A man is playing a musical keyboard.,A salesperson is playing a musical keyboard.,stsb sentence1: A man is playing a musical keyboard. sentence2: A salesperson is playing a musical keyboard.
A man is dancing.,A salesperson is dancing.,stsb sentence1: A man is dancing. sentence2: A salesperson is dancing.
A man plays a trumpet.,A salesperson plays a trumpet.,stsb sentence1: A man plays a trumpet. sentence2: A salesperson plays a trumpet.
A man is riding a horse.,A salesperson is riding a horse.,stsb sentence1: A man is riding a horse. sentence2: A salesperson is riding a horse.
A man is playing a guitar and singing.,A salesperson is playing a guitar and singing.,stsb sentence1: A man is playing a guitar and singing. sentence2: A salesperson is playing a guitar and singing.
